,timestamp,value,score
3015,2021-01-07 19:42:16,11.15,6.0921439913
3019,2021-01-07 19:54:17,11.16,6.0909207607
3020,2021-01-07 19:57:16,11.08,6.0999967559
3021,2021-01-07 20:00:17,11.09,6.0989792702
3022,2021-01-07 20:03:16,11.0,6.1085118373
3023,2021-01-07 20:06:16,11.05,6.1021797058
3024,2021-01-07 20:09:16,11.06,6.1019134185
3025,2021-01-07 20:12:16,11.06,6.1019134185
3026,2021-01-07 20:15:16,11.09,6.0989792702
3027,2021-01-07 20:18:16,11.06,6.1019134185
3028,2021-01-07 20:21:16,11.06,6.1019134185
3029,2021-01-07 20:24:16,11.03,6.1035956378
3030,2021-01-07 20:27:16,10.96,6.1103573179
3031,2021-01-07 20:30:16,10.93,6.1154756162
3032,2021-01-07 20:33:17,10.91,6.1161544886
3033,2021-01-07 20:36:16,10.9,6.1169512118
3034,2021-01-07 20:39:16,10.87,6.1197092663
3035,2021-01-07 20:42:16,10.91,6.1161544886
3036,2021-01-07 20:45:16,10.97,6.1094980316
3037,2021-01-07 20:48:16,10.99,6.1089233479
3038,2021-01-07 20:51:17,10.99,6.1089233479
3039,2021-01-07 20:54:16,10.99,6.1089233479
3040,2021-01-07 20:57:17,10.91,6.1161544886
3041,2021-01-07 21:00:16,10.81,6.1256674999
3042,2021-01-07 21:03:16,10.82,6.1249624312
3043,2021-01-07 21:06:16,10.81,6.1256674999
3044,2021-01-07 21:09:16,10.82,6.1249624312
3045,2021-01-07 21:12:16,10.8,6.1281647646
3046,2021-01-07 21:15:16,10.8,6.1281647646
3047,2021-01-07 21:18:16,10.8,6.1281647646
3048,2021-01-07 21:21:16,10.79,6.1276164135
3049,2021-01-07 21:24:16,10.77,6.1275461291
3050,2021-01-07 21:27:16,10.79,6.1276164135
3051,2021-01-07 21:30:16,10.79,6.1276164135
3052,2021-01-07 21:33:16,10.79,6.1276164135
3053,2021-01-07 21:36:17,10.75,6.1304555384
3054,2021-01-07 21:39:16,10.69,6.1363036563
3055,2021-01-07 21:42:16,10.7,6.1351288386
3056,2021-01-07 21:45:16,10.72,6.1327225076
3057,2021-01-07 21:48:16,10.71,6.1335565602
3058,2021-01-07 21:51:16,10.64,6.1434005404
3059,2021-01-07 21:54:17,10.66,6.1407863024
3060,2021-01-07 21:57:16,10.71,6.1335565602
3061,2021-01-07 22:00:16,10.74,6.131721284
3062,2021-01-07 22:03:16,10.73,6.1315733017
3063,2021-01-07 22:06:16,10.75,6.1304555384
3064,2021-01-07 22:09:16,10.76,6.128966682
3065,2021-01-07 22:12:16,10.76,6.128966682
3066,2021-01-07 22:15:16,10.77,6.1275461291
3067,2021-01-07 22:18:16,10.76,6.128966682
3068,2021-01-07 22:21:16,10.79,6.1276164135
3069,2021-01-07 22:24:16,10.78,6.1271505141
3070,2021-01-07 22:27:16,10.73,6.1315733017
3071,2021-01-07 22:30:17,10.69,6.1363036563
3072,2021-01-07 22:33:16,10.63,6.1439771714
3073,2021-01-07 22:36:17,10.57,6.1454881574
3074,2021-01-07 22:39:16,10.59,6.1451203966
3075,2021-01-07 22:42:16,10.57,6.1454881574
3076,2021-01-07 22:45:16,10.56,6.1463598867
3077,2021-01-07 22:48:16,10.58,6.1454786958
3078,2021-01-07 22:51:16,10.62,6.1434223865
3079,2021-01-07 22:54:16,10.7,6.1351288386
3080,2021-01-07 22:57:16,10.69,6.1363036563
3081,2021-01-07 23:00:16,10.6,6.1443881551
3082,2021-01-07 23:03:16,10.57,6.1454881574
3083,2021-01-07 23:06:16,10.56,6.1463598867
3084,2021-01-07 23:09:16,10.53,6.1522885558
3085,2021-01-07 23:12:16,10.55,6.1485461254
3086,2021-01-07 23:15:16,10.53,6.1522885558
3087,2021-01-07 23:18:16,10.52,6.1522828641
3088,2021-01-07 23:21:16,10.47,6.1570660759
3089,2021-01-07 23:24:16,10.31,6.1730732223
3090,2021-01-07 23:27:16,10.29,6.1746868039
3091,2021-01-07 23:30:16,10.28,6.1756840757
3092,2021-01-07 23:33:16,10.28,6.1756840757
3093,2021-01-07 23:36:16,10.28,6.1756840757
3094,2021-01-07 23:39:16,10.27,6.1762943755
3095,2021-01-07 23:42:16,10.27,6.1762943755
3096,2021-01-07 23:45:16,10.29,6.1746868039
3097,2021-01-07 23:48:16,10.28,6.1756840757
3098,2021-01-07 23:51:16,10.28,6.1756840757
3099,2021-01-07 23:54:16,10.26,6.1769835374
3100,2021-01-07 23:57:16,10.26,6.1769835374
3101,2021-01-08 00:00:16,10.2,6.1882146582
3102,2021-01-08 00:03:16,10.15,6.1899536166
3103,2021-01-08 00:06:16,10.14,6.1910812192
3104,2021-01-08 00:09:16,10.09,6.1959804533
3105,2021-01-08 00:12:16,10.04,6.2033954883
3106,2021-01-08 00:15:16,10.02,6.2064996693
3107,2021-01-08 00:18:16,10.04,6.2033954883
3108,2021-01-08 00:21:16,10.08,6.1979392288
