timestamp,value,score,year,month,day,hour,minute
2021-01-07 10:54:16,13.05,1.2422999692,2021,1,7,10,54
2021-01-07 10:57:17,13.07,1.2425373453,2021,1,7,10,57
2021-01-07 11:00:16,13.03,1.242740788,2021,1,7,11,0
2021-01-07 11:03:16,13.04,1.2446823215,2021,1,7,11,3
2021-01-07 11:06:17,13.05,1.2429331523,2021,1,7,11,6
2021-01-07 11:09:16,13.01,1.2443352286,2021,1,7,11,9
2021-01-07 11:11:17,13.06,1.2521097027,2021,1,7,11,11
2021-01-07 11:15:16,13.12,1.2523082362,2021,1,7,11,15
2021-01-07 11:17:17,13.04,1.2531238496,2021,1,7,11,17
2021-01-07 11:20:16,13.03,1.2546326358,2021,1,7,11,20
2021-01-07 11:24:17,12.96,1.2528282812,2021,1,7,11,24
2021-01-07 11:27:16,12.9,1.2527297914,2021,1,7,11,27
2021-01-07 11:30:17,12.82,1.2548457672,2021,1,7,11,30
2021-01-07 11:33:16,12.88,1.2584419752,2021,1,7,11,33
2021-01-07 11:35:16,12.9,1.2611780201,2021,1,7,11,35
2021-01-07 11:36:16,12.85,1.2608485825,2021,1,7,11,36
2021-01-07 11:42:16,12.81,1.2615003569,2021,1,7,11,42
2021-01-07 11:45:17,12.79,1.2540100936,2021,1,7,11,45
2021-01-07 11:48:16,12.8,1.2540449292,2021,1,7,11,48
2021-01-07 11:51:17,12.85,1.2540930406,2021,1,7,11,51
2021-01-07 11:54:16,12.84,1.2528316847,2021,1,7,11,54
2021-01-07 11:57:17,12.95,1.2528814393,2021,1,7,11,57
2021-01-07 12:00:16,13.01,1.253018526,2021,1,7,12,0
2021-01-07 12:03:16,13.0,1.2530751603,2021,1,7,12,3
2021-01-07 12:06:17,12.91,1.2654689499,2021,1,7,12,6
2021-01-07 12:09:16,12.97,1.2654263984,2021,1,7,12,9
2021-01-07 12:12:17,12.9,1.2596802684,2021,1,7,12,12
2021-01-07 12:15:16,12.94,1.2488550794,2021,1,7,12,15
2021-01-07 12:18:17,12.81,1.2487225935,2021,1,7,12,18
2021-01-07 12:21:16,12.91,1.2484410876,2021,1,7,12,21
2021-01-07 12:24:17,12.88,1.2446262838,2021,1,7,12,24
2021-01-07 12:27:16,12.88,1.2344307313,2021,1,7,12,27
2021-01-07 12:30:17,12.91,1.2346929152,2021,1,7,12,30
2021-01-07 12:33:16,12.84,1.2372299646,2021,1,7,12,33
2021-01-07 12:36:17,12.76,1.2478924625,2021,1,7,12,36
2021-01-07 12:39:16,12.71,1.2486319263,2021,1,7,12,39
2021-01-07 12:42:17,12.69,1.2489147659,2021,1,7,12,42
2021-01-07 12:45:16,12.66,1.2493780509,2021,1,7,12,45
2021-01-07 12:48:16,12.76,1.2497670237,2021,1,7,12,48
2021-01-07 12:51:16,12.61,1.2501280738,2021,1,7,12,51
2021-01-07 12:54:16,12.7,1.250457031,2021,1,7,12,54
2021-01-07 12:57:17,12.76,1.2509737343,2021,1,7,12,57
2021-01-07 13:00:16,12.81,1.2510273221,2021,1,7,13,0
2021-01-07 13:03:17,12.78,1.2518354572,2021,1,7,13,3
2021-01-07 13:06:16,12.75,1.2524288637,2021,1,7,13,6
2021-01-07 13:09:17,12.79,1.2526635815,2021,1,7,13,9
2021-01-07 13:12:16,12.75,1.2531257811,2021,1,7,13,12
2021-01-07 13:15:17,12.78,1.2529870481,2021,1,7,13,15
2021-01-07 13:18:16,12.74,1.2533798315,2021,1,7,13,18
2021-01-07 13:21:17,12.75,1.2539144963,2021,1,7,13,21
2021-01-07 13:24:16,12.76,1.254092876,2021,1,7,13,24
2021-01-07 13:27:16,12.7,1.2545114763,2021,1,7,13,27
2021-01-07 13:30:16,12.68,1.2555136406,2021,1,7,13,30
2021-01-07 13:33:16,12.75,1.2509038532,2021,1,7,13,33
2021-01-07 13:36:17,12.68,1.2506846504,2021,1,7,13,36
2021-01-07 13:39:16,12.68,1.2516305989,2021,1,7,13,39
2021-01-07 13:42:16,12.69,1.2499168129,2021,1,7,13,42
2021-01-07 14:30:16,12.83,1.218744186,2021,1,7,14,30
2021-01-07 14:33:16,12.82,1.2132997855,2021,1,7,14,33
2021-01-07 14:36:17,12.84,1.2132188064,2021,1,7,14,36
2021-01-07 14:39:16,12.82,1.2138770674,2021,1,7,14,39
2021-01-07 14:42:17,12.83,1.2115515097,2021,1,7,14,42
2021-01-07 14:45:16,12.78,1.2141974357,2021,1,7,14,45
2021-01-07 14:48:17,12.73,1.2135997167,2021,1,7,14,48
2021-01-07 14:51:16,12.59,1.2135061425,2021,1,7,14,51
2021-01-07 14:57:16,12.62,1.2301540094,2021,1,7,14,57
2021-01-07 15:00:16,12.66,1.2311984967,2021,1,7,15,0
2021-01-07 15:03:17,12.68,1.297222055,2021,1,7,15,3
2021-01-07 15:06:16,12.56,1.2306731567,2021,1,7,15,6
2021-01-07 15:09:17,12.52,1.2307229311,2021,1,7,15,9
2021-01-07 15:12:16,12.56,1.2898243367,2021,1,7,15,12
2021-01-07 15:15:17,12.64,1.2743643056,2021,1,7,15,15
2021-01-07 15:18:16,12.63,1.2687629906,2021,1,7,15,18
2021-01-07 15:21:17,12.52,1.3022909837,2021,1,7,15,21
2021-01-07 15:24:16,12.4,1.2800338021,2021,1,7,15,24
2021-01-07 15:27:17,12.37,1.3091618083,2021,1,7,15,27
2021-01-07 15:30:16,12.38,1.3090180764,2021,1,7,15,30
2021-01-07 15:33:16,12.39,1.3019346007,2021,1,7,15,33
2021-01-07 15:36:16,12.39,1.3008645053,2021,1,7,15,36
2021-01-07 15:39:16,12.36,1.3008821279,2021,1,7,15,39
2021-01-07 15:42:16,12.32,1.3008999872,2021,1,7,15,42
2021-01-07 15:45:17,12.29,1.301625553,2021,1,7,15,45
