,timestamp,value,score
3139,2021-01-08 01:54:16,9.16,5.9129186779
3140,2021-01-08 01:57:16,9.14,5.9153794233
3141,2021-01-08 02:00:16,9.14,5.9153794233
3142,2021-01-08 02:03:16,9.19,5.9113993092
3143,2021-01-08 02:06:16,9.11,5.9174047258
3144,2021-01-08 02:09:16,9.12,5.9165790625
3145,2021-01-08 02:12:16,9.11,5.9174047258
3146,2021-01-08 02:15:16,9.12,5.9165790625
3147,2021-01-08 02:18:16,9.16,5.9129186779
3148,2021-01-08 02:21:16,9.07,5.9182736643
3149,2021-01-08 02:24:16,9.0,5.9230829656
3150,2021-01-08 02:27:16,9.01,5.9221618239
3151,2021-01-08 02:30:16,9.03,5.9207875159
3152,2021-01-08 02:33:16,9.11,5.9174047258
3153,2021-01-08 02:36:16,9.17,5.9126393531
3154,2021-01-08 02:39:16,9.06,5.919038242
3155,2021-01-08 02:42:16,9.06,5.919038242
3156,2021-01-08 02:45:16,8.97,5.9250437874
3157,2021-01-08 02:48:16,8.99,5.923554769
3158,2021-01-08 02:51:16,8.94,5.9271681126
3159,2021-01-08 02:54:16,8.85,5.9316689194
3160,2021-01-08 02:57:16,8.8,5.9331580145
3161,2021-01-08 03:00:15,8.78,5.9343733437
3162,2021-01-08 03:03:16,8.8,5.9331580145
3163,2021-01-08 03:06:16,8.78,5.9343733437
3164,2021-01-08 03:09:16,8.8,5.9331580145
3165,2021-01-08 03:12:16,8.77,5.9349110292
3166,2021-01-08 03:15:16,8.66,5.9405184538
3167,2021-01-08 03:18:16,8.64,5.9415258316
3168,2021-01-08 03:21:16,8.69,5.9382369803
3169,2021-01-08 03:24:16,8.73,5.9359075169
3170,2021-01-08 03:27:16,8.7,5.9378602227
3171,2021-01-08 03:30:15,8.66,5.9405184538
3172,2021-01-08 03:33:16,8.56,5.9458380521
3173,2021-01-08 03:36:15,8.66,5.9405184538
3174,2021-01-08 03:39:16,8.75,5.9353578259
3175,2021-01-08 03:42:16,8.55,5.946124489
3176,2021-01-08 03:45:16,8.52,5.9485952077
3177,2021-01-08 03:48:16,8.5,5.9496826226
3178,2021-01-08 03:51:16,8.5,5.9496826226
3179,2021-01-08 03:54:16,8.44,5.9531486525
3180,2021-01-08 03:57:16,8.38,5.9561912244
3181,2021-01-08 04:00:16,8.3,5.9610672569
3182,2021-01-08 04:03:16,8.39,5.9558315278
3183,2021-01-08 04:06:16,8.38,5.9561912244
3184,2021-01-08 04:09:16,8.35,5.9579033215
3185,2021-01-08 04:12:15,8.33,5.9587897514
3186,2021-01-08 04:15:16,8.34,5.9586950138
3187,2021-01-08 04:18:16,8.34,5.9586950138
3188,2021-01-08 04:21:15,8.34,5.9586950138
3189,2021-01-08 04:24:16,8.34,5.9586950138
3190,2021-01-08 04:27:16,8.3,5.9610672569
3191,2021-01-08 04:30:16,8.31,5.9603890086
3192,2021-01-08 04:33:16,8.3,5.9610672569
3193,2021-01-08 04:36:16,8.27,5.9632580375
3194,2021-01-08 04:39:16,8.26,5.9637663436
3195,2021-01-08 04:42:16,8.25,5.9643432003
3196,2021-01-08 04:45:16,8.25,5.9643432003
3197,2021-01-08 04:48:16,8.24,5.9650289587
3198,2021-01-08 04:51:16,8.29,5.9617954157
3199,2021-01-08 04:54:15,8.31,5.9603890086
3200,2021-01-08 04:57:16,8.39,5.9558315278
3201,2021-01-08 05:00:16,8.43,5.954436095
3202,2021-01-08 05:03:16,8.47,5.9513988338
3203,2021-01-08 05:06:16,8.44,5.9531486525
3204,2021-01-08 05:09:15,8.46,5.9519889375
3205,2021-01-08 05:12:16,8.49,5.9501956779
3206,2021-01-08 05:15:16,8.54,5.9464638366
3207,2021-01-08 05:18:16,8.55,5.946124489
3208,2021-01-08 05:21:16,8.6,5.9438461577
3209,2021-01-08 05:24:16,8.49,5.9501956779
3210,2021-01-08 05:27:15,8.56,5.9458380521
3211,2021-01-08 05:30:16,8.57,5.9452378352
3212,2021-01-08 05:33:16,8.56,5.9458380521
3213,2021-01-08 05:36:16,8.59,5.9451783325
3214,2021-01-08 05:39:16,8.65,5.9410311559
3215,2021-01-08 05:42:16,8.63,5.9423005286
3216,2021-01-08 05:45:16,8.64,5.9415258316
3217,2021-01-08 05:48:16,8.62,5.9427330315
3218,2021-01-08 05:51:16,8.53,5.9477030443
3219,2021-01-08 05:54:16,8.54,5.9464638366
3220,2021-01-08 05:57:16,8.54,5.9464638366
3221,2021-01-08 06:00:15,8.59,5.9451783325
3222,2021-01-08 06:03:16,8.67,5.9403643639
3223,2021-01-08 06:06:15,8.45,5.952547158
3224,2021-01-08 06:09:16,8.34,5.9586950138
3225,2021-01-08 06:12:16,8.31,5.9603890086
3226,2021-01-08 06:15:16,8.29,5.9617954157
3227,2021-01-08 06:18:15,8.29,5.9617954157
3228,2021-01-08 06:21:16,8.26,5.9637663436
3229,2021-01-08 06:24:16,8.24,5.9650289587
3230,2021-01-08 06:27:16,8.15,5.9722802942
3231,2021-01-08 06:30:16,8.1,5.9753923319
3232,2021-01-08 06:33:16,8.16,5.9710261549
3233,2021-01-08 06:36:16,8.07,5.9773351927
3234,2021-01-08 06:39:16,8.07,5.9773351927
3235,2021-01-08 06:42:16,8.07,5.9773351927
3236,2021-01-08 06:45:15,8.03,5.9798090073
3237,2021-01-08 06:48:16,8.04,5.9792011179
3238,2021-01-08 06:51:16,8.06,5.9781229122
3239,2021-01-08 06:54:16,8.12,5.9740419481
3240,2021-01-08 06:57:16,8.12,5.9740419481
3241,2021-01-08 07:00:16,8.19,5.9690666213
3242,2021-01-08 07:03:16,8.18,5.9697197466
3243,2021-01-08 07:06:16,8.17,5.9702417034
3244,2021-01-08 07:09:16,8.13,5.973345846
3245,2021-01-08 07:12:16,8.17,5.9702417034
3246,2021-01-08 07:15:16,8.25,5.9643432003
3247,2021-01-08 07:18:16,8.2,5.9683980568
3248,2021-01-08 07:21:16,8.16,5.9710261549
3249,2021-01-08 07:24:15,8.1,5.9753923319
3250,2021-01-08 07:27:16,8.23,5.9661131409
3251,2021-01-08 07:30:15,8.25,5.9643432003
3252,2021-01-08 07:33:16,8.21,5.9689752106
3253,2021-01-08 07:36:15,8.2,5.9683980568
3254,2021-01-08 07:39:16,8.21,5.9689752106
3255,2021-01-08 07:42:16,8.26,5.9637663436
3256,2021-01-08 07:45:16,8.28,5.9626674583
3257,2021-01-08 07:48:15,8.32,5.959288455
3258,2021-01-08 07:51:16,8.29,5.9617954157
3259,2021-01-08 07:54:15,8.31,5.9603890086
3260,2021-01-08 07:57:16,8.4,5.9555567322
3261,2021-01-08 08:00:15,8.43,5.954436095
3262,2021-01-08 08:03:16,8.49,5.9501956779
3263,2021-01-08 08:06:15,8.52,5.9485952077
3264,2021-01-08 08:09:16,8.53,5.9477030443
3265,2021-01-08 08:12:15,8.47,5.9513988338
3266,2021-01-08 08:15:16,8.54,5.9464638366
3267,2021-01-08 08:18:16,8.54,5.9464638366
3268,2021-01-08 08:21:16,8.58,5.9453497197
3269,2021-01-08 08:24:16,8.29,5.9617954157
3270,2021-01-08 08:27:16,8.35,5.9579033215
3271,2021-01-08 08:30:16,8.36,5.9574822787
3272,2021-01-08 08:33:16,8.46,5.9519889375
3273,2021-01-08 08:36:16,8.47,5.9513988338
3274,2021-01-08 08:39:15,8.48,5.9508073735
3275,2021-01-08 08:42:16,8.41,5.9554075201
3276,2021-01-08 08:45:15,8.38,5.9561912244
3277,2021-01-08 08:48:16,8.35,5.9579033215
3278,2021-01-08 08:51:16,8.37,5.9569689075
3279,2021-01-08 08:54:16,8.39,5.9558315278
3280,2021-01-08 08:57:16,8.33,5.9587897514
3281,2021-01-08 09:00:16,8.34,5.9586950138
3282,2021-01-08 09:03:16,8.37,5.9569689075
3283,2021-01-08 09:06:16,8.45,5.952547158
3284,2021-01-08 09:09:15,8.42,5.9550448287
3285,2021-01-08 09:12:16,8.41,5.9554075201
3286,2021-01-08 09:15:16,8.43,5.954436095
3287,2021-01-08 09:18:16,8.48,5.9508073735
3288,2021-01-08 09:21:16,8.5,5.9496826226
3289,2021-01-08 09:24:16,8.62,5.9427330315
3290,2021-01-08 09:27:16,8.69,5.9382369803
3291,2021-01-08 09:30:16,8.56,5.9458380521
3292,2021-01-08 09:33:16,8.61,5.943195393
3293,2021-01-08 09:36:15,8.62,5.9427330315
3294,2021-01-08 09:39:16,8.68,5.9390040104
3295,2021-01-08 09:42:15,8.73,5.9359075169
3296,2021-01-08 09:45:16,8.71,5.9369849031
3297,2021-01-08 09:48:15,8.67,5.9403643639
3298,2021-01-08 09:51:16,8.66,5.9405184538
3299,2021-01-08 09:54:15,8.56,5.9458380521
3300,2021-01-08 09:57:16,8.67,5.9403643639
3301,2021-01-08 10:00:16,8.72,5.9365018389
3302,2021-01-08 10:03:16,8.53,5.9477030443
3303,2021-01-08 10:06:16,8.59,5.9451783325
3304,2021-01-08 10:09:16,8.38,5.9561912244
3305,2021-01-08 10:12:15,8.39,5.9558315278
3306,2021-01-08 10:15:16,8.39,5.9558315278
3307,2021-01-08 10:18:15,8.36,5.9574822787
3308,2021-01-08 10:21:16,8.33,5.9587897514
3309,2021-01-08 10:24:16,8.32,5.959288455
3310,2021-01-08 10:27:16,8.35,5.9579033215
3311,2021-01-08 10:30:16,8.55,5.946124489
3312,2021-01-08 10:33:16,8.53,5.9477030443
3313,2021-01-08 10:36:16,8.61,5.943195393
3314,2021-01-08 10:39:15,8.64,5.9415258316
3315,2021-01-08 10:42:16,8.69,5.9382369803
3316,2021-01-08 10:45:15,8.75,5.9353578259
3317,2021-01-08 10:48:16,8.8,5.9331580145
3318,2021-01-08 10:51:15,8.81,5.9333105194
3319,2021-01-08 10:54:16,8.79,5.933691554
3320,2021-01-08 10:57:15,8.79,5.933691554
3321,2021-01-08 11:00:16,8.83,5.9324662077
3322,2021-01-08 11:03:16,8.88,5.9298221663
3323,2021-01-08 11:06:15,8.94,5.9271681126
3324,2021-01-08 11:09:15,9.0,5.9230829656
3325,2021-01-08 11:12:15,8.91,5.9289409031
3326,2021-01-08 11:15:16,8.98,5.924154727
3327,2021-01-08 11:18:15,9.06,5.919038242
